template_name,discord_channel,meta_category,fuzi_category,event,audience,language,body_text,recommended_variables
"fuzi_new_internal_message","#fuzi-new-internal-message","UTILITY","Staff Notifications","New Internal Message","staff","en","Dear {{1}},
You have a new Fuzi Elevators internal message.

From: {{2}}
Subject: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_meeting_reminder","#fuzi-meeting-reminder","UTILITY","Staff Notifications","Meeting Reminder","staff","en","Dear {{1}},
This is a Fuzi Elevators meeting reminder.

Meeting: {{2}}
Time: {{3}}
Location: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_new_customer_created","#fuzi-new-customer-created","UTILITY","Management Notifications","New Customer Created","staff","en","Dear {{1}},
A new Fuzi Elevators customer has been created.

Customer: {{2}}
Created by: {{3}}
Created on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_new_project_created","#fuzi-new-project-created","UTILITY","Management Notifications","New Project Created","staff","en","Dear {{1}},
A new Fuzi Elevators project has been created.

Project: {{2}}
Customer: {{3}}
Department: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_critical_ticket_created","#fuzi-critical-ticket-created","UTILITY","Management Notifications","Critical Ticket Created","staff","en","Dear {{1}},
A critical Fuzi Elevators ticket has been created.

Ticket ID: {{2}}
Customer: {{3}}
Issue: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_emergency_service_request","#fuzi-emergency-service-request","UTILITY","Management Notifications","Emergency Service Request","staff","en","Dear {{1}},
Fuzi Elevators received an emergency service request.

Customer: {{2}}
Location: {{3}}
Issue: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_project_overdue","#fuzi-project-overdue","UTILITY","Management Notifications","Project Overdue","staff","en","Dear {{1}},
Fuzi Elevators project {{2}} is overdue.

Due date: {{3}}
Current department: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_department_bottleneck_alert","#fuzi-department-bottleneck-alert","UTILITY","Management Notifications","Department Bottleneck Alert","staff","en","Dear {{1}},
Fuzi Elevators detected a department bottleneck.

Department: {{2}}
Pending items: {{3}}
Oldest item: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_sla_violation_alert","#fuzi-sla-violation-alert","UTILITY","Management Notifications","SLA Violation Alert","staff","en","Dear {{1}},
Fuzi Elevators detected an SLA violation.

Item: {{2}}
Customer: {{3}}
Elapsed time: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_high_priority_customer_alert","#fuzi-high-priority-customer-alert","UTILITY","Management Notifications","High Priority Customer Alert","staff","en","Dear {{1}},
Fuzi Elevators has a high priority customer alert.

Customer: {{2}}
Reason: {{3}}
Action required: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_invoice_generated","#fuzi-invoice-generated","UTILITY","Invoice & Finance Notifications","Invoice Generated","customer","en","Dear {{1}},
Fuzi Elevators has generated invoice {{2}}.

Amount: {{3}}
Due date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_invoice_sent","#fuzi-invoice-sent","UTILITY","Invoice & Finance Notifications","Invoice Sent","customer","en","Dear {{1}},
Fuzi Elevators has sent invoice {{2}}.

Amount: {{3}}
Due date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_invoice_due_reminder","#fuzi-invoice-due-reminder","UTILITY","Invoice & Finance Notifications","Invoice Due Reminder","customer","en","Dear {{1}},
This is a reminder that Fuzi Elevators invoice {{2}} is due on {{3}}.

Amount due: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_invoice_overdue","#fuzi-invoice-overdue","UTILITY","Invoice & Finance Notifications","Invoice Overdue","customer","en","Dear {{1}},
Fuzi Elevators invoice {{2}} is overdue.

Amount due: {{3}}
Original due date: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_payment_received","#fuzi-payment-received","UTILITY","Invoice & Finance Notifications","Payment Received","customer","en","Dear {{1}},
Fuzi Elevators has received payment for invoice {{2}}.

Amount received: {{3}}
Received on: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_payment_failed","#fuzi-payment-failed","UTILITY","Invoice & Finance Notifications","Payment Failed","customer","en","Dear {{1}},
Fuzi Elevators could not process payment for invoice {{2}}.

Reason: {{3}}
Please contact us for support.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_quote_generated","#fuzi-quote-generated","UTILITY","Invoice & Finance Notifications","Quote Generated","customer","en","Dear {{1}},
Fuzi Elevators has generated quote {{2}} for {{3}}.

Quote amount: {{4}}
Valid until: {{5}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date; {{5}}:additional_reference"
"fuzi_quote_expiring_soon","#fuzi-quote-expiring-soon","UTILITY","Invoice & Finance Notifications","Quote Expiring Soon","customer","en","Dear {{1}},
Fuzi Elevators quote {{2}} will expire on {{3}}.

Please review it before the expiry date.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_appointment_scheduled","#fuzi-appointment-scheduled","UTILITY","Appointment Notifications","Appointment Scheduled","customer","en","Dear {{1}},
Your Fuzi Elevators appointment has been scheduled.

Appointment: {{2}}
Date and time: {{3}}
Location: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_appointment_reminder","#fuzi-appointment-reminder","UTILITY","Appointment Notifications","Appointment Reminder","customer","en","Dear {{1}},
This is a reminder for your Fuzi Elevators appointment.

Appointment: {{2}}
Date and time: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_appointment_confirmed","#fuzi-appointment-confirmed","UTILITY","Appointment Notifications","Appointment Confirmed","customer","en","Dear {{1}},
Your Fuzi Elevators appointment {{2}} is confirmed.

Confirmed time: {{3}}
Location: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_appointment_rescheduled","#fuzi-appointment-rescheduled","UTILITY","Appointment Notifications","Appointment Rescheduled","customer","en","Dear {{1}},
Your Fuzi Elevators appointment {{2}} has been rescheduled.

New date and time: {{3}}
Location: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_appointment_cancelled","#fuzi-appointment-cancelled","UTILITY","Appointment Notifications","Appointment Cancelled","customer","en","Dear {{1}},
Your Fuzi Elevators appointment {{2}} has been cancelled.

Reason: {{3}}
Please contact us to reschedule if needed.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_technician_arriving_soon","#fuzi-technician-arriving-soon","UTILITY","Appointment Notifications","Technician Arriving Soon","customer","en","Dear {{1}},
Fuzi Elevators technician {{2}} will arrive soon for {{3}}.

Estimated arrival: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_service_feedback_request","#fuzi-service-feedback-request","UTILITY","Customer Satisfaction & Feedback","Service Feedback Request","customer","en","Dear {{1}},
Fuzi Elevators completed service {{2}} on {{3}}.

Please reply with your feedback when convenient.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_project_feedback_request","#fuzi-project-feedback-request","UTILITY","Customer Satisfaction & Feedback","Project Feedback Request","customer","en","Dear {{1}},
Fuzi Elevators completed project {{2}}.

Please share your feedback about the project experience.","{{1}}:recipient_name; {{2}}:primary_reference"
"fuzi_customer_satisfaction_survey","#fuzi-customer-satisfaction-survey","UTILITY","Customer Satisfaction & Feedback","Customer Satisfaction Survey","customer","en","Dear {{1}},
Fuzi Elevators would like your feedback for {{2}}.

Survey reference: {{3}}
Your response helps us improve service quality.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_review_request","#fuzi-review-request","MARKETING","Customer Satisfaction & Feedback","Review Request","customer","en","Dear {{1}},
Thank you for choosing Fuzi Elevators for {{2}}.

If your service is complete, you may share a review using reference {{3}}.","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_referral_request","#fuzi-referral-request","MARKETING","Customer Satisfaction & Feedback","Referral Request","customer","en","Dear {{1}},
Thank you for working with Fuzi Elevators.

If you know someone who needs elevator support, please share reference {{2}} with our team.","{{1}}:recipient_name; {{2}}:primary_reference"
"fuzi_user_login_alert","#fuzi-user-login-alert","UTILITY","System Alerts","User Login Alert","staff","en","Dear {{1}},
Fuzi Elevators detected a login to your account.

Time: {{2}}
Location: {{3}}
Device: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_password_reset_request","#fuzi-password-reset-request","UTILITY","System Alerts","Password Reset Request","staff","en","Dear {{1}},
Fuzi Elevators received a password reset request for your account.

Request time: {{2}}
If this was not you, contact support.","{{1}}:recipient_name; {{2}}:primary_reference"
"fuzi_account_created","#fuzi-account-created","UTILITY","System Alerts","Account Created","staff","en","Dear {{1}},
Your Fuzi Elevators account has been created.

Username: {{2}}
Role: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_role_updated","#fuzi-role-updated","UTILITY","System Alerts","Role Updated","staff","en","Dear {{1}},
Your Fuzi Elevators account role has been updated.

New role: {{2}}
Updated by: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_integration_failure","#fuzi-integration-failure","UTILITY","System Alerts","Integration Failure","staff","en","Dear {{1}},
Fuzi Elevators detected an integration failure.

Integration: {{2}}
Error: {{3}}
Detected at: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_webhook_failure","#fuzi-webhook-failure","UTILITY","System Alerts","Webhook Failure","staff","en","Dear {{1}},
Fuzi Elevators detected a webhook failure.

Webhook: {{2}}
Status: {{3}}
Time: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
"fuzi_api_connection_restored","#fuzi-api-connection-restored","UTILITY","System Alerts","API Connection Restored","staff","en","Dear {{1}},
Fuzi Elevators API connection has been restored.

Integration: {{2}}
Restored at: {{3}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details"
"fuzi_system_maintenance_notice","#fuzi-system-maintenance-notice","UTILITY","System Alerts","System Maintenance Notice","staff","en","Dear {{1}},
Fuzi Elevators system maintenance is scheduled.

Start: {{2}}
End: {{3}}
Affected service: {{4}}","{{1}}:recipient_name; {{2}}:primary_reference; {{3}}:details; {{4}}:status_or_date"
